귀소일자,지역명,현장소방서거리,현장안전센터거리,최대풍속,온도,습도,전체인력수합계,,,,,,,,,,,,,,
20120501,강원도 영월군,57,20,11.9,16,68,146,,,,,,,,,,,,,,
20170602,강원도 고성군,30,9,8,19,57,146,,,,,,,,,,,,,,
20150521,강원도 홍천군,3,3,8.5,28,20,145,,,,,,,,,,,,,,
20130419,강원도 인제군,33,25,5.1,3,76,145,,,,,,,,,,,,,,
20190127,강원도 춘천시,11,7,7.7,3,25,145,,,,,,,,,,,,,,
20140409,강원도 횡성군,38,19,6,23,24,145,,,,,,,,,,,,,,
20150610,강원도 춘천시,27,27,8.5,32,31,144,,,,,,,,,,,,,,
20210218,강원도 춘천시,38,8,8.9,-8,34,144,,,,,,,,,,,,,,
20210218,강원도 영월군,38,7,7.9,-8,34,144,,,,,,,,,,,,,,
20210513,강원도 영월군,21,18,5.7,23,43,144,,,,,,,,,,,,,,
20210513,강원도 영월군,20,17,5.7,23,43,144,,,,,,,,,,,,,,
20140425,강원도 삼척시,4,4,6.8,23,32,144,,,,,,,,,,,,,,
20160201,강원도 화천군,28,23,9.2,0,0,143,,,,,,,,,,,,,,
20151216,강원도 양양군,40,12,8.2,0,0,143,,,,,,,,,,,,,,
20220425,강원도 홍천군,17,17,7.1,24,35,142,,,,,,,,,,,,,,
20150528,강원도 양구군,17,0,7.8,29,17,141,,,,,,,,,,,,,,
20120507,강원도 평창군,45,12,8.3,22,10,140,,,,,,,,,,,,,,
20210205,강원도 화천군,15,15,6.5,5,47,140,,,,,,,,,,,,,,
20210205,강원도 양양군,15,15,6.5,4,47,140,,,,,,,,,,,,,,
20150525,강원도 홍천군,21,21,8,11,98,139,,,,,,,,,,,,,,
20180624,강원도 양구군,8,8,6.5,33,30,138,,,,,,,,,,,,,,
20170430,강원도 영월군,10,7,7.2,19,45,138,,,,,,,,,,,,,,
20160603,강원도 삼척시,19,19,4.2,26,27,138,,,,,,,,,,,,,,
20170505,강원도 영월군,28,26,11,26,31,138,,,,,,,,,,,,,,
20170310,강원도 인제군,11,11,8.4,4,30,137,,,,,,,,,,,,,,
20150314,강원도 정선군,16,3,6.5,10,15,137,,,,,,,,,,,,,,
20200422,강원도 삼척시,18,14,9.5,6,37,137,,,,,,,,,,,,,,
20170322,강원도 양구군,43,9,7.1,11,30,136,,,,,,,,,,,,,,
20150321,강원도 고성군,37,4,10.3,0,0,136,,,,,,,,,,,,,,
20140116,강원도 평창군,18,18,5.8,6,50,136,,,,,,,,,,,,,,
20140422,강원도 양구군,15,6,6,18,70,136,,,,,,,,,,,,,,
20140509,강원도 강릉시,35,25,11.8,12,25,136,,,,,,,,,,,,,,
20200503,강원도 횡성군,18,17,8.7,26,53,134,,,,,,,,,,,,,,
20220204,강원도 원주시,23,23,5.8,-3,27,134,,,,,,,,,,,,,,
20200623,강원도 원주시,10,10,7.1,28,59,133,,,,,,,,,,,,,,
20200430,강원도 인제군,25,9,6.6,23,33,133,,,,,,,,,,,,,,
20200405,강원도 인제군,20,18,9.5,15,14,133,,,,,,,,,,,,,,
20140514,강원도 춘천시,55,14,6.5,23,30,133,,,,,,,,,,,,,,
20180219,강원도 화천군,28,7,5,6,28,133,,,,,,,,,,,,,,
20140421,강원도 화천군,25,6,6,21,29,133,,,,,,,,,,,,,,
20170115,강원도 화천군,14,5,5.5,-4,37,133,,,,,,,,,,,,,,
20191205,강원도 양양군,33,7,6.9,-4,28,133,,,,,,,,,,,,,,
20220421,강원도 홍천군,33,31,7.1,18,31,132,,,,,,,,,,,,,,
20170319,강원도 인제군,6,6,6.6,18,10,132,,,,,,,,,,,,,,
20160518,강원도 횡성군,8,8,4.9,27,28,132,,,,,,,,,,,,,,
20210514,강원도 화천군,26,14,7.8,24,58,131,,,,,,,,,,,,,,
20210514,강원도 평창군,26,14,7.3,24,58,131,,,,,,,,,,,,,,
20150517,강원도 인제군,53,41,5.1,21,22,131,,,,,,,,,,,,,,
20140417,강원도 철원군,2,2,6,9,96,131,,,,,,,,,,,,,,
20130605,강원도 홍천군,7,7,3.5,15,91,131,,,,,,,,,,,,,,
20180805,강원도 양구군,30,31,7.5,27,71,131,,,,,,,,,,,,,,
20150604,강원도 평창군,32,31,6.7,25,19,131,,,,,,,,,,,,,,
20171120,강원도 양양군,19,19,7.6,4,26,130,,,,,,,,,,,,,,
20170112,강원도 화천군,12,10,8.6,4,19,129,,,,,,,,,,,,,,
20140324,강원도 양양군,24,24,8.1,16,0,128,,,,,,,,,,,,,,
20200410,강원도 양양군,46,7,9.5,7,30,128,,,,,,,,,,,,,,
20150310,강원도 양양군,50,5,6.1,-3,21,128,,,,,,,,,,,,,,
20190418,강원도 강릉시,12,12,7.6,24,11,128,,,,,,,,,,,,,,
20150502,강원도 강릉시,19,19,6.8,29,35,128,,,,,,,,,,,,,,
20140510,강원도 화천군,22,22,7.8,27,21,128,,,,,,,,,,,,,,
20191231,강원도 고성군,6,8,9.5,-3,36,128,,,,,,,,,,,,,,
20120210,강원도 춘천시,8,8,8.6,1,33,127,,,,,,,,,,,,,,
20170316,강원도 양양군,17,3,6.6,12,14,127,,,,,,,,,,,,,,
20220114,강원도 삼척시,17,17,4.2,-7,51,127,,,,,,,,,,,,,,
20220219,강원도 원주시,7,7,5.8,-1,43,127,,,,,,,,,,,,,,
20220602,강원도 인제군,27,9,5.1,15,41,126,,,,,,,,,,,,,,
20220417,강원도 영월군,15,15,7.1,19,18,126,,,,,,,,,,,,,,
20210427,강원도 횡성군,19,19,7.8,18,37,126,,,,,,,,,,,,,,
20210427,강원도 춘천시,19,19,7.8,17,366,126,,,,,,,,,,,,,,
20151104,강원도 횡성군,44,8,5,8,45,126,,,,,,,,,,,,,,
20210425,강원도 강릉시,24,8,5.3,20,31,126,,,,,,,,,,,,,,
20210425,강원도 고성군,24,7,5.3,20,31,126,,,,,,,,,,,,,,
20120506,강원도 춘천시,45,15,13.1,19,15,125,,,,,,,,,,,,,,
20170505,강원도 춘천시,13,13,6.3,20,55,125,,,,,,,,,,,,,,
20220308,강원도 횡성군,21,21,7.3,10,36,124,,,,,,,,,,,,,,
20150604,강원도 평창군,7,14,6.9,29,11,124,,,,,,,,,,,,,,
20150302,강원도 강릉시,14,4,8.1,8,54,124,,,,,,,,,,,,,,
20140615,강원도 강릉시,18,18,6.2,28,20,124,,,,,,,,,,,,,,
20200410,강원도 홍천군,23,6,7.1,11,38,124,,,,,,,,,,,,,,
20150110,강원도 양구군,29,27,7.7,0,0,124,,,,,,,,,,,,,,
20220410,강원도 홍천군,10,10,7.8,23,24,123,,,,,,,,,,,,,,
20160130,강원도 강릉시,47,16,5.6,0,0,123,,,,,,,,,,,,,,
20160329,강원도 동해시,8,8,6.4,17,37,123,,,,,,,,,,,,,,
20190523,강원도 삼척시,34,15,5.5,26,20,123,,,,,,,,,,,,,,
20170520,강원도 화천군,29,22,6.3,28,30,123,,,,,,,,,,,,,,
20140425,강원도 화천군,36,10,6,23,25,123,,,,,,,,,,,,,,
20201108,강원도 횡성군,14,10,8.9,9,41,123,,,,,,,,,,,,,,
20170519,강원도 홍천군,31,29,11,25,35,123,,,,,,,,,,,,,,
20140920,강원도 영월군,48,16,3.1,25,0,122,,,,,,,,,,,,,,
20160223,강원도 철원군,57,7,6.5,5,28,122,,,,,,,,,,,,,,
20170116,강원도 인제군,19,34,5.9,5,37,121,,,,,,,,,,,,,,
20190511,강원도 홍천군,37,22,9.5,26,24,120,,,,,,,,,,,,,,
20190502,강원도 홍천군,19,4,8,24,20,120,,,,,,,,,,,,,,
20190404,강원도 횡성군,32,11,4.8,18,24,120,,,,,,,,,,,,,,
20150521,강원도 평창군,5,31,6.8,27,26,120,,,,,,,,,,,,,,
